x	y	label	key	showSelected1	group
20	-7	all times for region 18-5	all times for region 18-5	18-5	236
20	-7	all times for region 18-6	all times for region 18-6	18-6	237
20	-7	all times for region 18-7	all times for region 18-7	18-7	238
20	-7	all times for region 18-8	all times for region 18-8	18-8	239
20	-7	all times for region 18-9	all times for region 18-9	18-9	240
20	-7	all times for region 19-1	all times for region 19-1	19-1	241
20	-7	all times for region 19-10	all times for region 19-10	19-10	242
20	-7	all times for region 19-11	all times for region 19-11	19-11	243
20	-7	all times for region 19-12	all times for region 19-12	19-12	244
20	-7	all times for region 19-13	all times for region 19-13	19-13	245
20	-7	all times for region 19-14	all times for region 19-14	19-14	246
20	-7	all times for region 19-15	all times for region 19-15	19-15	247
20	-7	all times for region 19-16	all times for region 19-16	19-16	248
20	-7	all times for region 19-17	all times for region 19-17	19-17	249
20	-7	all times for region 19-18	all times for region 19-18	19-18	250
20	-7	all times for region 19-19	all times for region 19-19	19-19	251
20	-7	all times for region 19-2	all times for region 19-2	19-2	252
20	-7	all times for region 19-20	all times for region 19-20	19-20	253
20	-7	all times for region 19-21	all times for region 19-21	19-21	254
20	-7	all times for region 19-22	all times for region 19-22	19-22	255
20	-7	all times for region 19-23	all times for region 19-23	19-23	256
20	-7	all times for region 19-24	all times for region 19-24	19-24	257
20	-7	all times for region 19-3	all times for region 19-3	19-3	258
20	-7	all times for region 19-4	all times for region 19-4	19-4	259
20	-7	all times for region 19-5	all times for region 19-5	19-5	260
20	-7	all times for region 19-6	all times for region 19-6	19-6	261
20	-7	all times for region 19-7	all times for region 19-7	19-7	262
20	-7	all times for region 19-8	all times for region 19-8	19-8	263
20	-7	all times for region 19-9	all times for region 19-9	19-9	264
20	-7	all times for region 2-1	all times for region 2-1	2-1	265
20	-7	all times for region 2-10	all times for region 2-10	2-10	266
20	-7	all times for region 2-11	all times for region 2-11	2-11	267
20	-7	all times for region 2-12	all times for region 2-12	2-12	268
20	-7	all times for region 2-13	all times for region 2-13	2-13	269
20	-7	all times for region 2-14	all times for region 2-14	2-14	270
20	-7	all times for region 2-15	all times for region 2-15	2-15	271
20	-7	all times for region 2-16	all times for region 2-16	2-16	272
20	-7	all times for region 2-17	all times for region 2-17	2-17	273
20	-7	all times for region 2-18	all times for region 2-18	2-18	274
20	-7	all times for region 2-19	all times for region 2-19	2-19	275
20	-7	all times for region 2-2	all times for region 2-2	2-2	276
20	-7	all times for region 2-20	all times for region 2-20	2-20	277
20	-7	all times for region 2-21	all times for region 2-21	2-21	278
20	-7	all times for region 2-22	all times for region 2-22	2-22	279
20	-7	all times for region 2-23	all times for region 2-23	2-23	280
20	-7	all times for region 2-24	all times for region 2-24	2-24	281
20	-7	all times for region 2-3	all times for region 2-3	2-3	282
20	-7	all times for region 2-4	all times for region 2-4	2-4	283
20	-7	all times for region 2-5	all times for region 2-5	2-5	284
20	-7	all times for region 2-6	all times for region 2-6	2-6	285
20	-7	all times for region 2-7	all times for region 2-7	2-7	286
20	-7	all times for region 2-8	all times for region 2-8	2-8	287
20	-7	all times for region 2-9	all times for region 2-9	2-9	288
20	-7	all times for region 20-1	all times for region 20-1	20-1	289
20	-7	all times for region 20-10	all times for region 20-10	20-10	290
20	-7	all times for region 20-11	all times for region 20-11	20-11	291
20	-7	all times for region 20-12	all times for region 20-12	20-12	292
20	-7	all times for region 20-13	all times for region 20-13	20-13	293
20	-7	all times for region 20-14	all times for region 20-14	20-14	294
20	-7	all times for region 20-15	all times for region 20-15	20-15	295
20	-7	all times for region 20-16	all times for region 20-16	20-16	296
20	-7	all times for region 20-17	all times for region 20-17	20-17	297
20	-7	all times for region 20-18	all times for region 20-18	20-18	298
20	-7	all times for region 20-19	all times for region 20-19	20-19	299
20	-7	all times for region 20-2	all times for region 20-2	20-2	300
20	-7	all times for region 20-20	all times for region 20-20	20-20	301
20	-7	all times for region 20-21	all times for region 20-21	20-21	302
20	-7	all times for region 20-22	all times for region 20-22	20-22	303
20	-7	all times for region 20-23	all times for region 20-23	20-23	304
20	-7	all times for region 20-24	all times for region 20-24	20-24	305
20	-7	all times for region 20-3	all times for region 20-3	20-3	306
20	-7	all times for region 20-4	all times for region 20-4	20-4	307
20	-7	all times for region 20-5	all times for region 20-5	20-5	308
20	-7	all times for region 20-6	all times for region 20-6	20-6	309
20	-7	all times for region 20-7	all times for region 20-7	20-7	310
20	-7	all times for region 20-8	all times for region 20-8	20-8	311
20	-7	all times for region 20-9	all times for region 20-9	20-9	312
20	-7	all times for region 21-1	all times for region 21-1	21-1	313
20	-7	all times for region 21-10	all times for region 21-10	21-10	314
20	-7	all times for region 21-11	all times for region 21-11	21-11	315
20	-7	all times for region 21-12	all times for region 21-12	21-12	316
20	-7	all times for region 21-13	all times for region 21-13	21-13	317
20	-7	all times for region 21-14	all times for region 21-14	21-14	318
20	-7	all times for region 21-15	all times for region 21-15	21-15	319
20	-7	all times for region 21-16	all times for region 21-16	21-16	320
